丁寧,ていねい
逸脱,いつだつ
有償,ゆうしょう
洗濯機,せんたくき
公僕,こうぼく
駐屯地,ちゅうとんち
大雑把,おおざっぱ
倫理,りんり
王妃,おうひ
付随,ふずい
消火栓,しょうかせん
後戻り,あともどり
逓減,ていげん
扶養,ふよう
楽譜,がくふ
重曹,じゅうそう
霜害,そうがい
朕,ちん
賠償,ばいしょう
懲役,ちょうえき
診て,みて
困窮,こんきゅう
艦長,かんちょう
納涼,のうりょう
逐次,ちくじ
苦衷,くちゅう
漆黒,しっこく
男爵,だんしゃく
混紡,こんぼう
飢餓,きが
分析,ぶんせき
叔母,おば
臭い,くさい
水筒,すいとう
眺め,ながめ
凡庸,ぼんよう
漬物,つけもの
挿入,そうにゅう
慶弔,けいちょう
概括,がいかつ
充満,じゅうまん
履歴,りれき
哀愁,あいしゅう
壮快,そうかい
亜流,ありゅう
打撲,だぼく
泰平,たいへい
消耗,しょうもう
残忍,ざんにん
晩酌,ばんしゃく
遮って,さえぎって
過酷,かこく
購入,こうにゅう
茶渋,ちゃしぶ
競艇,きょうてい
窯元,かまもと
漸進,ぜんしん
累積,るいせき
狭義,きょうぎ
俊敏,しゅんびん
傘下,さんか
疎遠,そえん
拒否,きょひ
凸凹,でこぼこ
薫り,かおり
鼻緒,はなお
徹夜,てつや
中枢,ちゅうすう
頒布,はんぷ
薦める,すすめる
煩忙,はんぼう
奪還,だっかん
癒着,ゆちゃく
懐古,かいこ
蛍,ほたる
醸す,かもす
銘菓,めいか
詩吟,しぎん
自刃,じじん
租税,そぜい
剛健,ごうけん
連覇,れんぱ
砂漠,さばく
拐帯,かいたい
懸けて,かけて
激甚,げきじん
酢,す
登竜門,とうりゅうもん
喪失,そうしつ
泥縄,どろなわ
素朴,そぼく
粉砕,ふんさい
憤激,ふんげき
患って,わずらって
弦,つる
妊婦,にんぷ
琴線,きんせん
病棟,びょうとう
遍在,へんざい
稼業,かぎょう
合併,がっぺい
据える,すえる
謄写,とうしゃ
陥る,おちいる
貢ぎ,みつぎ
愛猫,あいびょう
惰弱,だじゃく
猟銃,りょうじゅう
逝って,いって
侮る,あなどる
頑健,がんけん
醜い,みにくい
寡黙,かもく
恭しい,うやうやしい
汁粉,しるこ
旋回,せんかい
交渉,こうしょう
一斉,いっせい
沸騰,ふっとう
塚,つか
秀逸,しゅういつ
暗礁,あんしょう
免疫,めんえき
蚊柱,かばしら
甲殻類,こうかくるい
片隅,かたすみ
謙譲語,けんじょうご
霜,しも
軟らかい,やわらかい
伯父,おじ
謹慎,きんしん
炎症,えんしょう
猿芝居,さるしばい
生涯,しょうがい
渇いた,かわいた
地下茎,ちかけい
私塾,しじゅく
泥酔,でいすい
培われ,つちかわれ
鉢合わせる,はちあわせる
気泡,きほう
奇矯,ききょう
紛糾,ふんきゅう
虜囚,りょしゅう
左遷,させん
捜査,そうさ
詔勅,しょうちょく
罷免,ひめん
官僚,かんりょう
融和,ゆうわ
繭糸,けんし
殊勲,しゅくん
擬似,ぎじ
昆布,こんぶ
仙境,せんきょう
妥当,だとう
密偵,みってい
土塀,どべい
摩耗,まもう
媒酌,ばいしゃく
諭す,さとす
駄作,ださく
寛容,かんよう
斎場,さいじょう
耳栓,みみせん
水槽,すいそう
料亭,りょうてい
頻度,ひんど
奔走,ほんそう
補充,ほじゅう
鈴,すず
偽善者,ぎぜんしゃ
缶,かん
珠玉,しゅぎょく
繊維,せんい
可塑,かそ
哀悼,あいとう
洞察力,どうさつりょく
減俸,げんぽう
履いて,はいて
進呈,しんてい
棋譜,きふ
傑作,けっさく
報奨,ほうしょう
硝石,しょうせき
音痴,おんち
別邸,べってい
造幣,ぞうへい
塁審,るいしん
窮屈,きゅうくつ
適宜,てきぎ
渦,うず
渓流,けいりゅう
庶務,しょむ
不祥事,ふしょうじ
洗濯,せんたく
逓増,ていぞう
舶来,はくらい
浄財,じょうざい
懲りた,こりた
来賓,らいひん
懐柔,かいじゅう
慶弔,けいちょう
貞淑,ていしゅく
不肖,ふしょう
荘重,そうちょう
法廷,ほうてい
屯田兵,とんでんへい
唯美,ゆいび
挑む,いどむ
悠然,ゆうぜん
一喝,いっかつ
洪積,こうせき
高尚,こうしょう
詔勅,しょうちょく
藻くず,もくず
撤回,てっかい
扶助,ふじょ
富裕層,ふゆうそう
煩雑,はんざつ
