介護,かいご
弾力,だんりょく
恥部,ちぶ
致命,ちめい
遅延,ちえん
蓄える,たくわえる
沖合,おきあい
跳ねる,はねる
徴収,ちょうしゅう
澄ます,すます
沈着,ちんちゃく
珍しい,めずらしい
大抵,たいてい
堤,つつみ
指摘,してき
水滴,すいてき
添える,そえる
宮殿,きゅうでん
吐息,といき
別途,べっと
過渡期,かとき
奴隷,どれい
怒り,いかり
到着,とうちゃく
逃げる,にげる
倒産,とうさん
桃源郷,とうげんきょう
透視,とうし
盗用,とうよう
金字塔,きんじとう
稲刈り,いねかり
雑踏,ざっとう
闘う,たたかう
胴,どう
峠,とうげ
急所,きゅうしょ
鈍い,にぶい
曇天,どんてん
悩む,なやむ
濃密,のうみつ
満杯,まんぱい
輩出,はいしゅつ
拍子,ひょうし
外泊,がいはく
気迫,きはく
薄い,うすい
爆弾,ばくだん
頭髪,とうはつ
抜群,ばつぐん
罰則,ばっそく
全般,ぜんぱん
販路,はんろ
運搬,うんぱん
規範,きはん
繁茂,はんも
基盤,きばん
彼岸,ひがん
疲れる,つかれる
被災,ひさい
避暑,ひしょ
首尾,しゅび
軽微,けいび
馬匹,ばひつ
浜辺,はまべ
敏感,びんかん
怖い,こわい
浮動票,ふどうひょう
普通,ふつう
腐敗,ふはい
敷物,しきもの
皮膚,ひふ
賦与,ふよ
舞台,ぶたい
拡幅,かくふく
払う,はらう
手柄,てがら
壁画,へきが
捕らえる,とらえる
老舗,しにせ
抱える,かかえる
峰,みね
砲丸,ほうがん
多忙,たぼう
民謡,みんよう
僧坊,そうぼう
涙,なみだ
盆地,ぼんち
矛先,ほこさき
三味線,しゃみせん
魚網,ぎょもう
投与,とうよ
主翼,しゅよく
離合,りごう
黙読,もくどく
川原,かわら
栄誉,えいよ
慢性,まんせい
上手,じょうず
冒険,ぼうけん
隷属,れいぞく
霧笛,むてき
雷鳴,らいめい
米粒,こめつぶ
高齢,こうれい
思慮,しりょ
頼む,たのむ
娘,むすめ
果物,くだもの
傍観,ぼうかん
溶接,ようせつ
退く,のく
漫画,まんが
紋章,もんしょう
心地,ここち
本腰,ほんごし
手伝う,てつだう
脈絡,みゃくらく
麗姿,れいし
帽子,ぼうし
躍動,やくどう
医療,いりょう
茂る,しげる
神妙,しんみょう
暦,こよみ（れき）
非凡,ひぼん
空欄,くうらん
歌謡,かよう
隣,となり
雄大,ゆうだい
五月,さつき
眠る,ねむる
名残り,なごり
勇猛,ゆうもう
奇術,きじゅつ
劣悪,れつあく
獲物,えもの
迷惑,めいわく
巨万,きょまん
光陰,こういん
大人,おとな
奥歯,おくば
白髪,しらが（はくはつ）
駆使,くし
記憶,きおく
退屈,たいくつ
敏腕,びんわん
仮名,かな
人影,ひとかげ
御殿,ごてん
七夕,たなばた
甘い,あまい
烈風,れっぷう
暗鬼,あんき
越える,こえる
威儀,いぎ
暇,ひま
恋心,こいごころ
幾つ,いくつ
発掘,はっくつ
梅雨,つゆ
発汗,はっかん
昨日,きのう（さくじつ）
凶暴,きょうぼう
乾かす,かわかす
風雅,ふうが
友達,ともだち
恵む,めぐむ
箱詰め,はこづめ
為替,かわせ
熱狂,ねっきょう
禁煙,きんえん
露骨,ろこつ
今朝,けさ
新郎,しんろう
偉大,いだい
送迎,そうげい
失脚,しっきゃく
博士,はかせ
縁談,えんだん
差し,さし
警戒,けいかい
恐ろしい,おそろしい
監査,かんさ
結婚,けっこん
恒久,こうきゅう
相違,そうい
枯死,こし
仰天,ぎょうてん
砂丘,さきゅう
五月雨,さみだれ
押さえる,おさえる
兼ねる,かねる
鑑識,かんしき
剣豪,けんごう
鼓笛隊,こてきたい
製菓,せいか
北緯,ほくい
荒立てる,あらだてる
包含,ほうがん
鎖国,さこく
老朽,ろうきゅう
清水,しみず（きよみず）
拠点,きょてん
祈願,きがん
相互,そうご
太刀,たち
箇条,かじょう
隠然,いんぜん
色彩,しきさい
軒先,のきさき
香水,こうすい
傾倒,けいとう
事項,じこう
堅実,けんじつ
皆無,かいむ
抵抗,ていこう
精鋭,せいえい
万歳,ばんざい
中継,ちゅうけい
時計,とけい
光輝,こうき
活況,かっきょう
攻守,こうしゅ
目撃,もくげき
記載,きさい
遣唐使,けんとうし
応援,おうえん
投稿,とうこう
脱却,だっきゃく
倒壊,とうかい
反響,はんきょう
煮豆,にまめ
起床,きしょう
丈夫,じょうぶ
鼓吹,こすい
沢登り,さわのぼり
点滴,てんてき
是正,ぜせい
踏破,とうは
疲労,ひろう
景色,けしき
刈り,かり
釈然,しゃくぜん
井戸,いど
魚拓,ぎょたく
添う,そう
波及,はきゅう
鮮やか,あざやか
胴衣,どうい
避暑地,ひしょち
時雨,しぐれ
歓声,かんせい
寂しい,さびしい
同姓,どうせい
濁る,にごる
殿堂,でんどう
肩車,かたぐるま
耐える,たえる
突拍子,とっぴょうし
尾翼,びよく
竹刀,しない
絶叫,ぜっきょう
秀麗,しゅうれい
触れる,ふれる
征服,せいふく
前途,ぜんと
惨事,さんじ
脱退,だったい
苦悩,くのう
描写,びょうしゃ
一日,ついたち
踏襲,とうしゅう
不振,ふしん
遺跡,いせき
極端,きょくたん
渡航,とこう
斜線,しゃせん
丹精,たんせい
拍手,はくしゅ
海浜,かいひん
柔弱,にゅうじゃく
寝具,しんぐ
扇形,おうぎがた
農奴,のうど
油脂,ゆし
弾む,はずむ
後輩,こうはい
敏速,びんそく
二十日,はつか
込む,こむ
初旬,しょじゅん
直訴,じきそ
遅刻,ちこく
逃れる,のがれる
獣医,じゅうい
澄んだ,すんだ
爆撃,ばくげき
腐る,くさる
一人,ひとり
咲く,さく
巡礼,じゅんれい
高僧,こうそう
跳ぶ,とぶ
殺到,さっとう
需要,じゅよう
沈黙,ちんもく
希薄,きはく
敷く,しく
下手,へた
伺う,うかがう
矛盾,むじゅん
尽力,じんりょく
贈る,おくる
備蓄,びちく
趣味,しゅみ
吐く,はく
迫真,はくしん
天賦,てんぷ
迷子,まいご
名称,めいしょう
紫外線,しがいせん
民俗,みんぞく
珍味,ちんみ
透明,とうめい
浸水,しんすい
盗む,ぬすむ
市販,しはん
出払う,ではらう
息子,むすこ
