酪農,らくのう
詮索,せんさく
溺れる,おぼれる
勃興,ぼっこう
漸増,ぜんぞう
荘重,そうちょう
失跡,しっせき
毀誉,きよ
煎茶,せんちゃ
風貌,ふうぼう
御法度,ごはっと
嘲笑,ちょうしょう
弊社,へいしゃ
散逸,さんいつ
火蓋,ひぶた
桁違い,けたちがい
摯実,しじつ
便箋,びんせん
装填,そうてん
愚昧,ぐまい
壮図,そうと
嫌悪,けんお
音頭,おんど
僅かな,わずかな
所詮,しょせん
冥利,みょうり
拙宅,せったく
諦聴,ていちょう
督促,とくそく
営巣,えいそう
残骸,ざんがい
黒鍵,こっけん
好餌,こうじ
狙撃,そげき
賭け事,かけごと
冥土,めいど
旋風,せんぷう
罪業,ざいごう
詐称,さしょう
錦秋,きんしゅう
遡上,そじょう
豊沃,ほうよく
安泰,あんたい
衷心,ちゅうしん
頓知,とんち
一献,いっこん
施主,せしゅ
顎関節,がくかんせつ
接舷,せつげん
叱る,しかる
遡る,さかのぼる
整頓,せいとん
冶金学,やきんがく
悪寒,おかん
顕示,けんじ
且つ,かつ
憂惧,ゆうぐ
爽昧,そうまい
辛辣,しんらつ
窮める,きわめる
頒価,はんか
罵声,ばせい
舌禍,ぜっか
罵倒,ばとう
葛湯,くずゆ
虎威,こい
叱声,しっせい
爽快,そうかい
貪欲,どんよく
弥生,やよい
脚立,きゃたつ
泥縄,どろなわ
喝破,かっぱ
偏窟,へんくつ
痩せる,やせる
藍色,あいいろ（らんしょく）
反物,たんもの
搭載,とうさい
灯籠,とうろう
諦念,ていねん
鎌首,かまくび
勾配,こうばい
嫉妬,しっと
痩身,そうしん
罵る,ののしる
闇夜,やみよ
倣う,ならう
